name	mean_price_str	address	lat	lon	mean_price_num	type
Компот, кафе домашней кухни	Средний чек 300 р	Санкт-Петербург, Савушкина, 12	59.9877585	30.2071511	300	cafe
Подвалъ Бродячей Собаки, арт-кафе	Средний чек 800 р	Санкт-Петербург, Итальянская, 4	59.9370299	30.3291406	800	cafe
Пуэрто, кафе	Средний чек 700 р	Санкт-Петербург, Набережная реки Карповки, 30	59.9696665	30.3018265	700	cafe
Подвальчик, кафе	Средний чек 700 р	Санкт-Петербург, Елизарова проспект, 12	59.8964078	30.4241372	700	cafe
Привал Охотника, кафе	Средний чек 500 р	Санкт-Петербург, Комендантский проспект, 33 к1	60.0216283	30.2451159	500	cafe
Плюшкин, пекарня-кондитерская	Средний чек 150 р	Санкт-Петербург, Полковая, 1/25	59.7022568	30.3814025	150	cafe
Подкова, кафе	Средний чек 1000 р	Санкт-Петербург, Звенигородская, 22	59.9188067	30.3411148	1000	cafe
Риф, ООО, кафе-бар	Средний чек 300 р	Санкт-Петербург, Народная, 55	59.88277405	30.4766885907895	300	cafe
Рэро, кафе	Средний чек 700 р	Санкт-Петербург, Ленина, 41	59.7509473	30.576225	700	cafe
Романс, кафе-бар	Средний чек 700 р	Санкт-Петербург, Авиаконструкторов проспект, 2	60.0202624	30.23744945	700	cafe
Рандеву, кафе	Средний чек 400 р	Санкт-Петербург, Большая Зеленина, 21	59.9605114	30.2929866	400	cafe
Распутин, кафе	Средний чек 800 р	Санкт-Петербург, Набережная реки Мойки, 37	59.9405686	30.3191234	800	cafe
Georgia, кафе	Средний чек 1000 р	Санкт-Петербург, Большой проспект В.О., 52/15	59.9343835	30.2689247864069	1000	cafe
Старый город, гостиничный комплекс	Средний чек 600 р	Санкт-Петербург, Достоевского, 26	59.9243403	30.348962	600	cafe
Сундук, арт-кафе	Средний чек 1200 р	Санкт-Петербург, Фурштатская, 42	59.9453202	30.3616545	1200	cafe
SAMADEVA, вегетарианское кафе	Средний чек 400 р	Санкт-Петербург, Казанская, 10	59.9257544	30.42694765527	400	cafe
СССР, кафе-столовая	Средний чек 200 р	Санкт-Петербург, Загородный проспект, 40	59.9237207	30.3366684	200	cafe
Тройка, кафе	Средний чек 900 р	Санкт-Петербург, Светлановский проспект, 54а	60.0113448	30.3488064	900	cafe
Ором, чайхана	Средний чек 500 р	Санкт-Петербург, Бухарестская, 74	59.8498393	30.3987532	500	cafe
Старый аббат, паб	Средний чек 500 р	Санкт-Петербург, Большая Пороховская, 21	59.95322805	30.41688505	500	cafe
SkVer, кафе-бар	Средний чек 600 р	Санкт-Петербург, Школьная, 106	59.99070585	30.2190559904181	600	cafe
СССР, кафе-столовая	Средний чек 200 р	Санкт-Петербург, Загородный проспект, 40	59.9237207	30.3366684	200	cafe
Старый Дворик, арт-кафе	Средний чек 1000 р	Санкт-Петербург, Днепропетровская, 67а	59.9111588	30.3579731	1000	cafe
Стёпка, кафе-бар	Средний чек 550 р	Санкт-Петербург, Ветеранов проспект, 151 к1	59.8358176	30.1335624	550	cafe
Est! Сafe, кафе-ресторан	Средний чек 600 р	Санкт-Петербург, Набережная Крюкова канала, 11	59.9235889	30.2959758	600	cafe
Solo, лаунж-кафе	Средний чек 700 р	Санкт-Петербург, Бухарестская, 96	59.8597029	30.3928344	700	cafe
Терраса, гранд-кафе	Средний чек 1500 р	Санкт-Петербург, Искровский проспект, 22	59.9052754	30.4681235	1500	cafe
Телега, кафе-бар	Средний чек 700 р	Санкт-Петербург, Королёва проспект, 46 к1	60.0097352	30.2928551	700	cafe
Трио, кафе	Средний чек 500 р	Санкт-Петербург, Жака Дюкло, 10а	60.0132912	30.3537047	500	cafe
У перекрестка, кафе-бар	Средний чек 500 р	Санкт-Петербург, Просвещения проспект, 41	60.0434398	30.3787633	500	cafe
Укроп, вегетарианское кафе	Средний чек 350 р	Санкт-Петербург, Марата, 23	59.9313381	30.3550117	350	cafe
Чистые Пруды, кафе	Средний чек 1200 р	Санкт-Петербург, Димитрова, 32а	59.8452847	30.3745346	1200	cafe
Philibert, кафе	Средний чек 800 р	Санкт-Петербург, Коломенская, 29	59.9230182	30.35271195	800	cafe
Фортуна, кафе	Средний чек 600 р	Санкт-Петербург, Просвещения проспект, 37 к1	60.0531923	30.3324569	600	cafe
Фортуна, кафе	Средний чек 600 р	Санкт-Петербург, Просвещения проспект, 37 к1	60.0531923	30.3324569	600	cafe
Фортуна, кафе	Средний чек 600 р	Санкт-Петербург, Просвещения проспект, 37 к1	60.0531923	30.3324569	600	cafe
Фортуна, кафе	Средний чек 600 р	Санкт-Петербург, Просвещения проспект, 37 к1	60.0531923	30.3324569	600	cafe
Фортуна, кафе	Средний чек 600 р	Санкт-Петербург, Просвещения проспект, 37 к1	60.0531923	30.3324569	600	cafe
Фортуна, кафе	Средний чек 600 р	Санкт-Петербург, Просвещения проспект, 37 к1	60.0531923	30.3324569	600	cafe
