id	name	lat	lon	h	filename	index
22271	Шойна	67.88333333333334	44.13333333333333	16	22271	0
22365	маяк Абрамовский	66.38333333333334	43.25	24	22365	1
22471	Мезень	65.85	44.23333333333333	11	22471	2
22361	Моржовец 	66.75	42.583333333333336	15	22361	3
20046	о. Хейса	80.61666666666666	58.05	20	20046	4

